team,league,latitude,longitude,altitude,country,city,stadium
Stevenage,E3,51.8896479,-0.1937405,0.0,England,Stevenage,Unknown
Stockport,E3,53.3996433,-2.1664844,0.0,England,Stockport,Unknown
Sutton,E3,51.3618,-0.1945,0.0,England,Sutton,Unknown
Swindon,E3,51.607755,-1.7924329,0.0,England,Swindon,Unknown
Torquay,E3,50.4619,-3.5253,0.0,England,Torquay,Unknown
Tranmere,E3,53.3738916,-3.0317875,0.0,England,Tranmere,Unknown
Walsall,E3,52.5655014,-1.9904976,0.0,England,Walsall,Unknown
Wrexham,E3,53.0443125,-2.9766849,0.0,England,Wrexham,Unknown
Wycombe,E3,51.6304108,-0.8002826,0.0,England,Wycombe,Unknown
Yeovil,E3,50.9420451,-2.6318629,0.0,England,Yeovil,Unknown
York,E3,53.959,-1.0815,0.0,England,York,Unknown
AFC Telford United,EC,52.6973792,-2.5014353,0.0,England,Telford,Unknown
AFC Wimbledon,EC,51.4315282,-0.1867047,0.0,England,Wimbledon,Unknown
Aldershot,EC,51.2646793,-0.754589,0.0,England,Aldershot,Unknown
Alfreton Town,EC,53.094456,-1.3811612,0.0,England,Alfreton,Unknown
Altrincham,EC,53.3833838,-2.3352283,0.0,England,Altrincham,Unknown
Barnet,EC,51.6033587,-0.2242463,0.0,England,Barnet,Unknown
Barrow,EC,54.1109,-3.2261,0.0,England,Barrow,Unknown
Bath City,EC,51.378837,-2.3950494,0.0,England,Bath,Unknown
Boreham Wood,EC,51.6620316,-0.2724395,0.0,England,Wood,Unknown
Boston Utd,EC,52.9767861,-0.0191167,0.0,England,Boston,Unknown
Brackley Town,EC,52.0316579,-1.1385272,0.0,England,Brackley,Unknown
Braintree Town,EC,51.9464939,0.6326725,0.0,England,Braintree,Unknown
Bristol Rvs,EC,51.486111,-2.583611,0.0,England,Bristol,Unknown
Bromley,EC,51.4191635,-0.0687969,0.0,England,Bromley,Unknown
Cambridge,EC,52.2120297,0.1541831,0.0,England,Cambridge,Unknown
Carlisle,EC,54.8925,-2.9329,0.0,England,Carlisle,Unknown
Cheltenham,EC,51.9061781,-2.0602145,0.0,England,Cheltenham,Unknown
Chester,EC,53.1892245,-2.923472,0.0,England,Chester,Unknown
Chesterfield,EC,53.2535581,-1.4258193,0.0,England,Chesterfield,Unknown
Chorley,EC,53.6460264,-2.6294423,0.0,England,Chorley,Unknown
Crawley Town,EC,51.1191344,-0.191615,0.0,England,Crawley,Unknown
Dag and Red,EC,51.5478,0.159867,0.0,England,Red,Unknown
Darlington,EC,54.5084255,-1.5344062,0.0,England,Darlington,Unknown
Dartford,EC,51.4371824,0.2316846,0.0,England,Dartford,Unknown
Dorking,EC,51.2344704,-0.3333497,0.0,England,Dorking,Unknown
Dover Athletic,EC,51.1378031,1.284886,0.0,England,Dover,Unknown
Eastbourne Borough,EC,50.8041757,0.32079,0.0,England,Borough,Unknown
