team_name,league,latitude,longitude,altitude,country,city,stadium,status,coord_source
Exeter,E2,50.7093752,-3.4675489,0.0,England,Exeter,Unknown,success,stadium_coordinates
Fleetwood Town,E2,53.885312,-3.0084092,0.0,England,Fleetwood,Unknown,success,stadium_coordinates
Forest Green,E2,51.6989868,-2.2377653,0.0,England,Green,Unknown,success,stadium_coordinates
Gillingham,E2,51.3842253,0.5609658,0.0,England,Gillingham,Unknown,success,stadium_coordinates
Hartlepool,E2,54.6890602,-1.2126565,0.0,England,Hartlepool,Unknown,success,stadium_coordinates
Huddersfield,E2,53.6543494,-1.7682999,0.0,England,Huddersfield,Unknown,success,stadium_coordinates
Hull,E2,53.7462258,-0.3678239,0.0,England,Hull,Unknown,success,stadium_coordinates
Ipswich,E2,52.0549518,1.1452848,0.0,England,Ipswich,Unknown,success,stadium_coordinates
Leyton Orient,E2,51.5599794,-0.013533,0.0,England,Orient,Unknown,success,stadium_coordinates
Lincoln,E2,53.2307,-0.5406,0.0,England,Lincoln,Unknown,success,city_manual
Luton,E2,51.8841259,-0.4316701,0.0,England,Luton,Unknown,success,stadium_coordinates
Mansfield,E2,53.1431,-1.1985,0.0,England,Mansfield,Unknown,success,city_manual
Millwall,E2,51.4855805,-0.0513983,0.0,England,Millwall,Unknown,success,stadium_coordinates
Milton Keynes Dons,E2,52.0460472,-0.7466835,0.0,England,Dons,Unknown,success,stadium_coordinates
Morecambe,E2,54.0614689,-2.8672646,0.0,England,Morecambe,Unknown,success,stadium_coordinates
Northampton,E2,52.2352633,-0.9335741,0.0,England,Northampton,Unknown,success,stadium_coordinates
Notts County,E2,52.9536232,-1.144662,0.0,England,Notts,Unknown,success,stadium_coordinates
Oldham,E2,53.5475003,-2.1438254,0.0,England,Oldham,Unknown,success,stadium_coordinates
Oxford,E2,51.7265293,-1.1998903,0.0,England,Oxford,Unknown,success,stadium_coordinates
Peterboro,E2,52.5695,-0.2405,0.0,England,Peterborough,Unknown,success,city_manual
Plymouth,E2,50.3755,-4.1427,0.0,England,Plymouth,Unknown,success,city_manual
Port Vale,E2,53.0500906,-2.1926292,0.0,England,Vale,Unknown,success,stadium_coordinates
Portsmouth,E2,50.8198,-1.088,0.0,England,Portsmouth,Unknown,success,city_manual
Preston,E2,53.7722148,-2.6885609,0.0,England,Preston,Unknown,success,stadium_coordinates
Reading,E2,51.4223346,-0.9831238,0.0,England,Reading,Unknown,success,stadium_coordinates
Rochdale,E2,53.6207953,-2.1799129,0.0,England,Rochdale,Unknown,success,stadium_coordinates
Rotherham,E2,53.4267854,-1.362678,0.0,England,Rotherham,Unknown,success,stadium_coordinates
Scunthorpe,E2,53.5825219,-0.6783354,0.0,England,Scunthorpe,Unknown,success,stadium_coordinates
Sheffield United,E2,53.4286674,-1.370864,0.0,England,Sheffield,Unknown,success,stadium_coordinates
Sheffield Weds,E2,53.41138889,-1.500555556,0.0,England,Weds,Unknown,success,stadium_coordinates
Shrewsbury,E2,52.6865188,-2.7485853,0.0,England,Shrewsbury,Unknown,success,stadium_coordinates
Southampton,E2,50.9058615,-1.3908774,0.0,England,Southampton,Unknown,success,stadium_coordinates
Southend,E2,51.5490442,0.7015486,0.0,England,Southend,Unknown,success,stadium_coordinates
Stevenage,E2,51.8896479,-0.1937405,0.0,England,Stevenage,Unknown,success,stadium_coordinates
Stockport,E2,53.3996433,-2.1664844,0.0,England,Stockport,Unknown,success,stadium_coordinates
Sunderland,E2,54.9143953,-1.3882579,0.0,England,Sunderland,Unknown,success,stadium_coordinates
Swindon,E2,51.607755,-1.7924329,0.0,England,Swindon,Unknown,success,stadium_coordinates
Tranmere,E2,53.3738916,-3.0317875,0.0,England,Tranmere,Unknown,success,stadium_coordinates
Walsall,E2,52.5655014,-1.9904976,0.0,England,Walsall,Unknown,success,stadium_coordinates
Wigan,E2,53.5477333,-2.6540131,0.0,England,Wigan,Unknown,success,stadium_coordinates
Wolves,E2,52.6076564,-2.1494975,0.0,England,Wolves,Unknown,success,stadium_coordinates
Wrexham,E2,53.0443125,-2.9766849,0.0,England,Wrexham,Unknown,success,stadium_coordinates
Wycombe,E2,51.6304108,-0.8002826,0.0,England,Wycombe,Unknown,success,stadium_coordinates
Yeovil,E2,50.9420451,-2.6318629,0.0,England,Yeovil,Unknown,success,stadium_coordinates
AFC Wimbledon,E3,51.4315282,-0.1867047,0.0,England,Wimbledon,Unknown,success,stadium_coordinates
Accrington,E3,53.7654011,-2.370969,0.0,England,Accrington,Unknown,success,stadium_coordinates
Aldershot,E3,51.2646793,-0.754589,0.0,England,Aldershot,Unknown,success,stadium_coordinates
Barnet,E3,51.6033587,-0.2242463,0.0,England,Barnet,Unknown,success,stadium_coordinates
Barrow,E3,54.1109,-3.2261,0.0,England,Barrow,Unknown,success,city_manual
Blackpool,E3,53.8047874,-3.0482513,0.0,England,Blackpool,Unknown,success,stadium_coordinates
Bolton,E3,53.5805396,-2.5356648,0.0,England,Bolton,Unknown,success,stadium_coordinates
Bradford,E3,53.795,-1.7594,0.0,England,Bradford,Unknown,success,city_manual
Bristol Rvs,E3,51.486111,-2.583611,0.0,England,Bristol,Unknown,success,stadium_coordinates
