team,league,country,city,status,coord_source,latitude,longitude
Gillingham,E2,England,Gillingham,success,stadium_coordinates,51.3842253,0.5609658
Hartlepool,E2,England,Hartlepool,success,stadium_coordinates,54.6890602,-1.2126565
Huddersfield,E2,England,Huddersfield,success,stadium_coordinates,53.6543494,-1.7682999
Hull,E2,England,Hull,success,stadium_coordinates,53.7462258,-0.3678239
Ipswich,E2,England,Ipswich,success,stadium_coordinates,52.0549518,1.1452848
Leyton Orient,E2,England,Orient,success,stadium_coordinates,51.5599794,-0.013533
Lincoln,E2,England,Lincoln,missing,city_manual,53.2307,-0.5406
Luton,E2,England,Luton,success,stadium_coordinates,51.8841259,-0.4316701
Mansfield,E2,England,Mansfield,missing,city_manual,53.1431,-1.1985
Millwall,E2,England,Millwall,success,stadium_coordinates,51.4855805,-0.0513983
Milton Keynes Dons,E2,England,Dons,success,stadium_coordinates,52.0460472,-0.7466835
Morecambe,E2,England,Morecambe,success,stadium_coordinates,54.0614689,-2.8672646
Northampton,E2,England,Northampton,success,stadium_coordinates,52.2352633,-0.9335741
Notts County,E2,England,Notts,success,stadium_coordinates,52.9536232,-1.144662
Oldham,E2,England,Oldham,success,stadium_coordinates,53.5475003,-2.1438254
Oxford,E2,England,Oxford,success,stadium_coordinates,51.7265293,-1.1998903
Peterboro,E2,England,Peterborough,missing,city_manual,52.5695,-0.2405
Plymouth,E2,England,Plymouth,missing,city_manual,50.3755,-4.1427
Port Vale,E2,England,Vale,success,stadium_coordinates,53.0500906,-2.1926292
Portsmouth,E2,England,Portsmouth,missing,city_manual,50.8198,-1.088
Preston,E2,England,Preston,success,stadium_coordinates,53.7722148,-2.6885609
Reading,E2,England,Reading,success,stadium_coordinates,51.4223346,-0.9831238
Rochdale,E2,England,Rochdale,success,stadium_coordinates,53.6207953,-2.1799129
Rotherham,E2,England,Rotherham,success,stadium_coordinates,53.4267854,-1.362678
Scunthorpe,E2,England,Scunthorpe,success,stadium_coordinates,53.5825219,-0.6783354
Sheffield United,E2,England,Sheffield,success,stadium_coordinates,53.4286674,-1.370864
Sheffield Weds,E2,England,Weds,success,stadium_coordinates,53.41138889,-1.500555556
Shrewsbury,E2,England,Shrewsbury,success,stadium_coordinates,52.6865188,-2.7485853
Southampton,E2,England,Southampton,success,stadium_coordinates,50.9058615,-1.3908774
Southend,E2,England,Southend,success,stadium_coordinates,51.5490442,0.7015486
